File,EntryID,Name,English,Chinese
AdventurePathTable,0,,Tutorial,教 程 
AdventurePathTable,5,,Evil is brewing in the sleepy coastal town of Sandpoint.,罪 恶 正 在 沙 点 镇 这 个 寂 静 的 海 岸 小 镇 滋 生 。 
AdventurePathTable,6,,"After you begin The Hook Mountain Massacre, when you banish a bane that has the Basic trait, remove it from the game; when you banish a boon that has the Basic trait, you may remove it from the game. After you begin Sins of the Saviors, do the same for cards that have the Elite trait.",开 始 钩 子 山 大 屠 杀 之 后 ， 当 你 放 逐 一 个 具 有 基 础 特 性 的 祸 害 ，将 其 从 游 戏 中 移 除 ； 当 你 放 逐 了 一 个 带 有 基 础 特 性 的 恩 赐 ， 可 以 将 其 从 游 戏 中 移 除 。 开 始 救 世 主 的 罪 恶 之 后 ， 具 有 精 英 特 性 的 卡 牌 也 同 样 如 此 。
AdventurePathTable,7,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventurePathTable,8,,Rise of the Goblins,地 精 的 崛 起 
AdventurePathTable,9,,The goblins... they a risin'.,地 精 ... 它 们 在 崛 起 。 
AdventurePathTable,10,,Nothing.,没 什 么 。 
AdventurePathTable,11,,The power of friendship.,友 情 的 力 量 
AdventurePathTable,12,,A Fighter's Tale: Valeros,战 士 传 说 ： 巴 莱 罗 斯 
AdventurePathTable,13,,"The oft-drunken misadventures of our favorite warrior, Valeros!",我 们 最 喜 欢 的 勇 士 经 常 喝 醉 而 有 运 气 不 好 的 遭 遇 ， 他 就 是 巴 莱 罗 斯 !
AdventurePathTable,14,,Description for Val's side quests,巴 莱 罗 斯 支 线 任 务 描 述 
AdventurePathTable,15,,The honor and respect of your fellow combatants... and another round on Harsk.,你 们 这 些 勇 士 值 得 钦 佩 和 尊 敬 ... 哈 斯 克 请 你 们 喝 一 轮 ！ 
AdventureTable,0,,Tutorial,教 程 
AdventureTable,4,,"The Lost Coast might be tame, but nowhere in the frontier lands of Varisia is entirely safe. Recently, gangs of Sczarni bandits—unscrupulous human thieves—have targeted the people of the quiet town of Sandpoint. Dangers lurk in town as well, as several innocents have suffered the venom of a mysterious poisoner. But most fearful are the rumors of slaughtered livestock and death soaring on shadowy wings. Sandpoint needs heroes. Are you up to the challenge?",迷 失 海 岸 可 能 是 温 和 的 ， 但 在 瓦 里 西 亚 的 边 境 地 区 ， 没 有 任 何 地 方 是 完 全 安 全 的 。 最 近 ， 萨 尔 尼 土 匪 -寡 廉 鲜 耻 的 人 类 盗 贼 -把 目 标 对 准 了 安 静 的 沙 点 镇 的 人 们 。 城 里 也 潜 伏 着 危 险 ， 因 为 几 个 无 辜 的 人 受 到 了 一 名 神 秘 的 投 毒 者 的 毒 杀 。 但 最 可 怕 的 是 屠 宰 牲 畜 和 死 亡 的 谣 言 四 起 。 沙 点 镇 需 要 英 雄 。 你 准 备 好 面 对 挑 战 了 吗 ？ 
AdventureTable,5,,Each character gains a skill feat.,每 个 角 色 获 得 一 项 技 能 专 长 。
AdventureTable,6,,Burnt Offerings,燃 尽 的 祭 奠 品 
AdventureTable,7,,"With celestial ancestry, Nualia was born on the path of light, but a childhood facing the constant attention and jealousy of Sandpoint’s people drove her to embrace the demon goddess Lamashtu. Bitter and vengeful, Nualia has taken refuge in the ruins of Thistletop, enlisting the aid of goblins, a band of vicious outcasts, and other mysterious allies in a plot to destroy Sandpoint. Those who would save the town must defend it from her goblin raiders, quell the evils unleashed in the chaos, and then take the fight to Thistletop and Nualia herself!",有 了 天 上 的 祖 先 ， 努 雅 丽 亚 出 生 在 光 明 的 道 路 上 ， 但 在 童 年 时 期 ， 沙 点 镇 民 的 持 续 关 注 和 嫉 妒 驱 使 她 拥 抱 了 恶 魔 女 神 拉 玛 什 图 。 苦 难 和 复 仇 ， 努 雅 丽 亚 在 蓟 顶 的 废 墟 中 避 难 ， 招 募 了 地 精 ， 一 群 邪 恶 的 弃 儿 ， 以 及 其 他 盟 友 ， 密 谋 摧 毁 沙 点 镇 。 那 些 想 要 拯 救 这 个 城 镇 的 人 必 须 从 她 的 地 精 袭 击 者 那 里 保 卫 它 ， 平 息 混 乱 中 释 放 的 邪 恶 ， 然 后 再 去 打 败 蓟 顶 和 努 雅 丽 亚 本 身 ！ 
AdventureTable,8,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventureTable,9,,The Skinsaw Murders,锯 皮 谋 杀 
AdventureTable,10,,"The dead stalk the streets of Sandpoint! The bloody trail leads to packs of ravenous undead and the haunted halls of Foxglove Manor. Behind this bloody spree is the Skinsaw Man, a ghoulish murderer backed by the merciless Skinsaw Cult—the same sinister allies who backed Nualia. Pursuing the fiends to the city of Magnimar reveals the dark goals of these evil-minded fanatics and their mysterious leader, an “angel” hidden amid the dizzying heights of the towering Shadow Clock.",不 死 族 潜 近 沙 点 镇 的 街 道 ！ 这 条 血 腥 的 小 路 通 往 一 群 饥 肠 辘 辘 的 死 灵 和 狐 狸 手 套 庄 园 的 闹 鬼 大 厅 。 这 种 血 腥 的 疯 狂 背 后 是 锯 皮 者 ， 残 忍 的 锯 皮 教 支 持 下 的 杀 人 犯 --支 持 努 雅 丽 亚 的 同 样 险 恶 的 盟 友 。 追 击 玛 格 尼 玛 城 的 恶 魔 ， 揭 示 了 这 些 邪 恶 的 狂 热 分 子 的 黑 暗 目 标 ， 他 们 神 秘 的 领 袖 ， 是 隐 藏 在 高 耸 的 影 钟 上 的 的 “ 天 使 ” 。 
AdventureTable,11,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventureTable,12,,The Hook Mountain Massacre,钩 子 山 大 屠 杀 
AdventureTable,13,,"No one has heard from the rangers of Fort Rannick for months, and the lord-mayor of Magnimar fears the worst. Investigating the fate of the lost rangers leads to the homestead of the monstrously inbred Graul half-ogres, and then the Kreeg clan of ogres, who have taken over the fort. Saving the fort reveals a stonehearted warlord manipulating the ogres, threatening to destroy the ancient dam of Skull’s Crossing and sacrifice the town of Turtleback Ferry in the name of a mysterious master.",几 个 月 来 ， 兰 尼 克 堡 的 游 侠 音 信 全 无 ， 而 玛 格 尼 玛 市 长 担 心 最 坏 的 情 况 。 对 失 踪 游 侠 的 调 查 指 向 可 怕 的 近 亲 交 配 的 格 劳 儿 半 食 人 魔 以 及 接 管 了 堡 垒 的 克 雷 格 食 人 魔 。 拯 救 这 座 堡 垒 的 过 程 中 ， 一 个 铁 石 心 肠 的 军 阀 操 纵 着 食 人 魔 ， 威 胁 要 摧 毁 这 座 古 老 的 “ 骷 髅 会 ” ， 并 以 一 位 神 秘 主 人 的 名 义 牺 牲 龟 甲 渡 口 的 小 镇 。
AdventureTable,14,,Each character chooses a role card and gains a power feat.,每 个 角 色 选 择 角 色 卡 并 获 得 能 力 专 长 。
AdventureTable,15,,Fortress of the Stone Giants,石 巨 人 堡 垒 
AdventureTable,16,,"The giants are on the march! The stone giants of Jorgenfist and their red dragon ally have invaded Sandpoint. To save the town, its heroes must drive off the titanic invaders and pursue the survivors back to their rugged stronghold. Amid the mighty towers of Jorgenfist lurk forgotten evils and secrets of dark arcana. In the deepest halls schemes the stone giant Mokmurian, a power-hungry magician pursuing the secrets of sin magic and plotting to restore the ancient evil empire of Thassilon.",巨 人 在 行 军 途 中 ！ 约 根 之 拳 的 石 巨 人 和 它 们 的 盟 友 红 龙 侵 入 了 沙 点 镇 。 为 了 拯 救 镇 子 ， 英 雄 必 须 击 退 这 些 巨 大 的 入 侵 者 ， 并 追 击 幸 存 者 至 他 们 坚 固 的 据 点 。 在 巨 大 的 约 根 之 拳 塔 楼 里 ， 潜 伏 着 被 遗 忘 的 邪 恶 和 黑 暗 的 奥 秘 。 在 最 深 的 大 厅 里 ， 有 一 个 石 巨 人 莫 克 姆 朗 ， 他 是 一 个 渴 望 力 量 的 魔 法 师 ， 他 正 在 追 寻 罪 恶 的 秘 密 ， 并 密 谋 重 建 这 个 古 老 邪 恶 的 瑟 西 隆 帝 国 。
AdventureTable,17,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventureTable,18,,Sins of the Saviors,救 世 主 的 罪 
